ensemblGeneID	GeneSymbol	p1.shared_all_subcomp.1	p2.shared_all_subcomp.2	p3.shared_all_subcomp.3	p4.shared_all_subcomp.4	p5.shared_all_subcomp.5	p6.shared_all_subcomp.6	p7shared_all_subcomp.7	p8.shared_all_subcomp.8	p9.shared_all_subcomp.9	p10.shared_all_subcomp.10	p11.shared_all_subcomp.11	p12.shared_all_subcomp.12	p13.shared_all_subcomp.13	p14.shared_all_subcomp.14	p15.shared_all_subcomp.15	p16.shared_all_subcomp.16	p17.shared_all_subcomp.17	p18.shared_all_subcomp.18	p19.shared_all_subcomp.19	p20.shared_all_subcomp.20
ENSG00000120549	KIAA1217	2.2892	0.0001	0.2113	0.0288	0.0303	0.0000	0.0486	0.5116	0.7534	0.0012	0.9646	0.1358	0.6037	0.4546	0.0000	0.5528	0.0538	0.0194	0.0018	0.0000
ENSG00000185532	PRKG1	1.9820	0.0320	0.0006	1.3679	0.0001	0.5686	0.2180	0.0318	0.0227	0.0246	0.0001	0.0710	0.1497	0.0171	0.0000	0.0003	0.4722	0.0017	0.0006	0.5534
ENSG00000058866	DGKG	1.8932	0.0115	0.0000	0.0000	0.1282	0.0000	0.5189	0.0000	0.2418	0.0030	0.0050	0.0000	0.2963	0.0004	0.0200	0.2439	0.0000	0.0149	0.0000	0.2317
ENSG00000134138	MEIS2	1.7390	0.0000	0.0000	0.0000	0.0000	0.0000	0.3294	0.0000	0.0558	0.0000	0.5180	0.0015	0.5296	0.0287	0.0000	0.0620	0.6229	0.0000	0.0000	0.0000
ENSG00000176204	LRRTM4	1.7056	0.4896	0.0306	0.3750	0.7250	0.6086	0.5618	0.0081	0.0470	0.0013	0.0091	0.1353	0.0000	0.0580	0.6847	2.1710	1.1783	0.3593	1.2524	0.1731
ENSG00000162599	NFIA	1.6680	0.0705	0.0000	0.0000	0.1889	0.0000	0.0000	0.0000	0.2353	0.0000	0.0000	0.0000	0.1827	0.0000	0.5750	0.3968	0.0000	0.0678	0.0000	0.2025
ENSG00000184347	SLIT3	1.6650	0.1905	0.0000	0.0000	0.0127	0.1440	0.8119	0.0001	0.0743	0.1935	0.0012	0.0039	0.2085	0.0007	0.1806	0.5067	0.0170	0.1799	0.0000	0.4883
ENSG00000113100	CDH9	1.6266	0.0140	0.0000	0.0000	0.0021	0.0028	1.3400	0.0000	0.0014	0.0000	0.0082	0.0009	0.6687	0.0008	0.9807	0.0287	0.2249	0.0006	0.0884	0.3976
ENSG00000175471	MCTP1	1.5296	0.2831	0.0018	0.0000	0.8576	0.2503	0.1546	0.0000	0.3776	0.0686	0.0000	0.0265	0.0523	0.0032	0.8275	0.7461	0.0141	0.4120	0.0035	0.7283
ENSG00000185008	ROBO2	1.5125	0.0188	0.0001	0.0009	0.4111	0.3860	0.5567	0.1907	0.7507	0.0742	0.0327	0.0021	1.1760	0.0005	0.0012	2.6514	0.2229	0.0054	0.0001	1.0892
